Source,Title,Authors,DOI,Journal_Ref,Link,Tag,Subjects,Additional_Info,Date,Topic
CHI23,HOOV: Hand Out-Of-View Tracking for Proprioceptive Interaction using Inertial Sensing,"Paul Streli, Rayan Armani, Yi Fei Cheng, et al.",10.1145/3544548.3581468,,https://arxiv.org/abs/2303.07016,"IMU, VR, transformer","cs.HC, cs.CV, I.2; I.5; H.5",,,HCI
Ubicomp23,From 2D to 3D: Facilitating Single-Finger Mid-Air Typing on QWERTY Keyboards with Probabilistic Touch Modeling,,,,https://dl.acm.org/doi/10.1145/3580829,"mid air, text entry, VR",,,,HCI
Ubicomp23,PrintShear: Shear Input Based on Fingerprint Deformation,,,,https://dl.acm.org/doi/10.1145/3596257,"touch, finger input",,,,HCI
CHI23,"IMUPoser: Full-Body Pose Estimation using IMUs in Phones, Watches, and Earbuds","Vimal Mollyn, Riku Arakawa, Mayank Goel, et al.",10.1145/3544548.3581392,,https://arxiv.org/abs/2304.12518,"IMU, pose estimation, BiLSTM","cs.HC, cs.CV",,,HCI
arXiv(v1) 2024,IMUSIC: IMU-based Facial Expression Capture,"Youjia Wang, Yiwen Wu, Hengan Zhou, et al.",,,https://arxiv.org/abs/2402.03944,"IMU, generation, simulate, transformer diffusion",cs.CV,code coming soon ([link](https://sites.google.com/view/projectpage-imusic)),2024.02,HCI
Ubicomp23,I Know Your Intent: Graph-enhanced Intent-aware User Device Interaction Prediction via Contrastive Learning,,,,https://dl.acm.org/doi/10.1145/3610906,"user device interaction, graph, attention, contrastive learning",,,,HCI
Ubicomp23,Synthetic Smartwatch IMU Data Generation from In-the-wild ASL Videos,,,,https://dl.acm.org/doi/abs/10.1145/3596261,"IMU, synthetic, ASL recognition",,,,HCI
Ubicomp23,ThumbAir: In-Air Typing for Head Mounted Displays,,,,https://dl.acm.org/doi/10.1145/3569474,"mid air, text entry, VR, HMD, user study",,,,HCI
Ubicomp23,TwinkleTwinkle: Interacting with Your Smart Devices by Eye Blink,,,,https://dl.acm.org/doi/abs/10.1145/3596238,"acoustic sensing, eye blink, signal process",,,,HCI
Ubicomp23,Voicify Your UI: Towards Android App Control with Voice Commands,,,,https://dl.acm.org/doi/10.1145/3581998,"design, smartphones, sound-based input, dl parser, UI",,,,HCI
Ubicomp23,LapTouch: Using the Lap for Seated Touch Interaction with HMDs,,,,https://dl.acm.org/doi/10.1145/3610878,"VR, seated, touch, on-body",,,,HCI
Ubicomp23,GLOBEM: Cross-Dataset Generalization of Longitudinal Human Behavior Modeling,,,,https://dl.acm.org/doi/10.1145/3569485,"generalizability, behavior modeling, passive sensing",,,,HCI
Ubicomp23,StructureSense: Inferring Constructive Assembly Structures from User Behaviors,,,,https://dl.acm.org/doi/10.1145/3570343,"tangible user interfaces, TUI, RFID, user modeling, bayesian inference",,,,HCI
Ubicomp23,Naturalistic E-Scooter Maneuver Recognition with Federated Contrastive Rider Interaction Learning,,,,https://dl.acm.org/doi/10.1145/3570345,"IMU, DCT, contrastive learning, asynchronous federated learning, ehavior analysis",,,,HCI
Ubicomp23,TAO: Context Detection from Daily Activity Patterns Using Temporal Analysis and Ontology,,,,https://dl.acm.org/doi/abs/10.1145/3610896,"behavioral context recognition, activity recognition, ontology, deep learning",,,,HCI
Ubicomp23,HyWay: Enabling Mingling in the Hybrid World∗,,,,https://dl.acm.org/doi/abs/10.1145/3596235,"hybrid mingling, unstructured and semi-structured conversations, awareness, agency, porosity, reciprocity",,,,HCI
Ubicomp23,Exploring the Opportunities of AR for Enriching Storytelling with Family Photos between Grandparents and Grandchildren,,,,https://dl.acm.org/doi/abs/10.1145/3610903,"AR, storytelling, intergenerational communication",,,,HCI
Ubicomp23,Contact Tracing for Healthcare Workers in an Intensive Care Unit,,,,https://dl.acm.org/doi/10.1145/3610924,"contact Tracing, Internet of things (IoT), bluetooth low energy, Covid-19",,,,HCI
Ubicomp23,A Data-Driven Context-Aware Health Inference System for Children during School Closures,,,,https://dl.acm.org/doi/10.1145/3580800,"data analysis, school closures, health inference, risk factor analysis",,,,HCI
Ubicomp23,Privacy-Enhancing Technology and Everyday Augmented Reality: Understanding Bystanders’ Varying Needs for Awareness and Consent,,,,https://dl.acm.org/doi/10.1145/3569501,"AR, privacy, bystanders, altered reality, extended perception, biometrics",,,,HCI
Ubicomp23,MoCaPose: Motion Capturing with Textile-integrated Capacitive Sensors in Loose-fitting Smart Garments,,,,https://dl.acm.org/doi/abs/10.1145/3580883,"motion capture, wearable sensing, capacitive sensing, deep learning, motion tracking, smart textile",,,,HCI
Ubicomp23,PoseSonic: 3D Upper Body Pose Estimation Through Egocentric Acoustic Sensing on Smartglasses,,,,https://dl.acm.org/doi/abs/10.1145/3610895?af=R,"human pose estimation, acoustic sensing, smart/AR glasses, deep learning, cross-modal supervision",,,,HCI
Ubicomp23,MI-Poser: Human Body Pose Tracking Using Magnetic and Inertial Sensor Fusion with Metal Interference Mitigation,,,,https://dl.acm.org/doi/10.1145/3610891,"EMF, body pose tracking, inverse kinematics, sensor fusion",,,,HCI
Ubicomp23,Headar: Sensing Head Gestures for Confirmation Dialogs on Smartwatches with Wearable Millimeter-Wave Radar,,,,https://dl.acm.org/doi/abs/10.1145/3610900,"wearable interaction, gestural input, millimeter-wave radar, head gestures, smartwatch",,,,HCI
Ubicomp23,DRG-Keyboard: Enabling Subtle Gesture Typing on the Fingertip with Dual IMU Rings,,,,https://dl.acm.org/doi/10.1145/3569463,"text entry, gesture keyboard, fingertip interaction, smart ring",,,,HCI
Ubicomp23,Abacus Gestures: A Large Set of Math-Based Usable Finger-Counting Gestures for Mid-Air Interactions,,,,https://dl.acm.org/doi/10.1145/3610898,"vision, mid-air, gesture interaction, math, finger counting, abacus",,,,HCI
Ubicomp23,sUrban: Stable Prediction for Unseen Urban Data from Location-based Sensors,,,,https://dl.acm.org/doi/abs/10.1145/3610877,"urban computing, location-based data, spatial-temporal prediction, out-of-distribution data",,,,HCI
Ubicomp23,Spectral-Loc: Indoor Localization Using Light Spectral Information,,,,https://dl.acm.org/doi/10.1145/3580878,"indoor localization, spectral information, ambient light",,,,HCI
arXiv(v2) 2024,IMUOptimize: A Data-Driven Approach to Optimal IMU Placement for Human Pose Estimation with Transformer Architecture,"Varun Ramani, Hossein Khayami, Yang Bai, et al.",,,https://arxiv.org/abs/2402.08923,"IMU, transformer, interpretability, data driven, time series",cs.LG,,2024.02,HCI
CVPR24,Dynamic Inertial Poser (DynaIP): Part-Based Motion Dynamics Learning for Enhanced Human Pose Estimation with Sparse Inertial Sensors,"Yu Zhang, Songpengcheng Xia, Lei Chu, et al.",,,https://arxiv.org/abs/2312.02196,"IMU, sparse inertial sensors",cs.CV,,2024.03,HCI
Ubicomp23,N-euro Predictor: A Neural Network Approach for Smoothing and Predicting Motion Trajectory,,,,https://dl.acm.org/doi/10.1145/3610884,"vision-based interactions, motion-to-photon latency, motion prediction, neural network, perceived jitter and lag",,,,HCI
Ubicomp23,GC-Loc: A Graph Attention Based Framework for Collaborative Indoor Localization Using Infrastructure-free Signals,,,,https://dl.acm.org/doi/10.1145/3569495,"collaborative indoor localization, graph neural network, geomagnetism",,,,HCI
arXiv(v5) 2024,Evaluating Human-Language Model Interaction,"Mina Lee, Megha Srivastava, Amelia Hardy, et al.",,,https://arxiv.org/abs/2212.09746,"LM, human-centered, evaluation",cs.CL,,,HCI
Ubicomp23,WristAcoustic: Through-Wrist Acoustic Response Based Authentication for Smartwatches,,,,https://dl.acm.org/doi/10.1145/3569473,"smartwatch authentication, bone conduction, acoustic response",,,,HCI
Ubicomp23,VibPath: Two-Factor Authentication with Your Hand's Vibration Response to Unlock Your Phone,,,,https://dl.acm.org/doi/10.1145/3610894,"user authentication, vibration, IMU, smartphone, wearables, smartwatch",,,,HCI
Ubicomp24,CAvatar: Real-time Human Activity Mesh Reconstruction via Tactile Carpets,,,,https://dl.acm.org/doi/pdf/10.1145/3631424,"human activity reconstruction, 3D human mesh, pressure and vibrations, tactile sensor",,,,HCI
Ubicomp23,NF-Heart: A Near-field Non-contact Continuous User Authentication System via Ballistocardiogram,,,,https://dl.acm.org/doi/10.1145/3580851,"continuous authentication, ballistocardiogram (BCG), biometrics, non-contact sensing, smart chair",,,,HCI
Ubicomp23,Fingerprinting IoT Devices Using Latent Physical Side-Channels,,,,https://dl.acm.org/doi/abs/10.1145/3596247,"physical side-channels, fingerprinting, internet-of-things",,,,HCI
Ubicomp23,ViSig: Automatic Interpretation of Visual Body Signals Using On-Body Sensors,,,,https://dl.acm.org/doi/10.1145/3580797,"visual signalling, on-body sensors, UWB, IMU, body signals, fallback communication, sports automation, postures, gestures",,,,HCI
Ubicomp24,Mental-LLM: Leveraging Large Language Models for Mental Health Prediction via Online Text Data,,,,,,,,,HCI
Ubicomp23,SkinLink: On-body Construction and Prototyping of Reconfigurable Epidermal Interfaces,,,,,,,,,HCI
Ubicomp23,Radio2Text: Streaming Speech Recognition Using mmWave Radio Signals,,,,,,,,,HCI
Ubicomp23,HIPPO: Pervasive Hand-Grip Estimation from Everyday Interactions,,,,,,,,,HCI
Ubicomp23,LT-Fall: The Design and Implementation of a Life-threatening Fall Detection and Alarming System,,,,,,,,,HCI
Ubicomp22,IF-ConvTransformer: A Framework for Human Activity Recognition Using IMU Fusion and ConvTransformer,,,,https://dl.acm.org/doi/10.1145/3534584,"IMU, fusion, multimodal, transformer, attention",,,,HCI
ISWC 2023,On the Utility of Virtual On-body Acceleration Data for Fine-grained Human Activity Recognition,,,,https://dl.acm.org/doi/10.1145/3594738.3611364,"HAR, virtual, IMU",,,,HCI
ISWC 2023,C-Auth: Exploring the Feasibility of Using Egocentric View of Face Contour for User Authentication on Glasses,,,,https://dl.acm.org/doi/10.1145/3594738.3611355,"smart glasses, authentication, ecocentric view",,,,HCI
ISWC 2023,Towards a Haptic Taxonomy of Emotions: Exploring Vibrotactile Stimulation in the Dorsal Region,,,,,,,,,HCI
